time,speedX,speedY,speedZ,angle,damage,rpm,trackPos,steering,accel,brake,reward,loss,
18:15;12-16-16,0.0,0.0,-0.000113156996667,0.0,0.0,0.0942478027344,0.333332002163,-0.647965312004,1.0,9.28634280584e-10,0.0,0.0,
18:15;12-16-16,2.69677334776e-05,-8.22520038734e-06,2.8050399075e-05,0.000344445500978,0.0,0.0942478027344,0.333332002163,-0.648043334484,1.0,9.21648368735e-10,0.00538479810256,0.0,
18:15;12-16-16,0.0116071669261,-0.00111976663272,-6.15540022651e-05,0.00253210469382,0.0,0.0942478027344,0.331746011972,-0.633641123772,1.0,8.06329947256e-10,2.2991507682,0.0,
18:15;12-16-16,0.0227147340775,-0.00232731660207,-0.000127792333563,0.0088158581071,0.0,0.0942478027344,0.326171994209,-0.514823794365,0.999999880791,2.87718249226e-09,4.40042625486,0.0,
18:15;12-16-16,0.034157333374,-0.00261668006579,-0.000197932670514,0.0172998148569,0.0,0.112881994629,0.316242992878,-0.420066446066,0.999999880791,2.76451028736e-10,6.43481227827,0.0,
18:15;12-16-16,0.046671333313,-0.00308719674746,-0.000131876332064,0.0272134899038,0.0,0.169725,0.300841987133,-0.0812993049622,1.0,6.04194645704e-13,8.54247582028,0.0,
18:15;12-16-16,0.0603963343302,-0.000734513352315,-0.000154560667773,0.030614337489,0.0,0.212394995117,0.284301012754,0.0446763597429,1.0,3.29097589024e-13,11.143987219,0.0,
18:15;12-16-16,0.0767819976807,0.000535640021165,-0.000311641345421,0.029183537155,0.0,0.277465991211,0.267435014248,0.0596273429692,1.0,2.26681900247e-13,14.6686739318,0.0,
18:15;12-16-16,0.0977293332418,0.00086516002814,-0.000351733341813,0.0259091853261,0.0,0.363284008789,0.264403998852,0.0565108023584,1.0,1.2846342913e-13,19.0859143068,0.0,
18:15;12-16-16,0.123602333069,0.000778709997733,-0.000502850015958,0.0214988215411,0.0,0.503285986328,0.24385599792,0.0445185862482,1.0,1.78388408239e-14,25.4512518439,0.0,
